,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
pop_density_sqrkilometer,2101.2608008075367,6106.331884057971,1926.145256776034,5768.056097560975,1596.0960602549246,6272.764753004005,3004.2066666666665,7636.507692307691,7963.957674418604,7314.854385964913,3996.938710610003,199.39999999999998,2854.6981012658225,1713.078521400778,2946.478541226216,1357.0233861834654,3127.9969633507853,6794.94847161572,7984.8178030303025,337.27027027027026,637.025925925926
Pborn_Europe,94.29372476446838,75.98550724637681,94.52851283880172,84.1951219512195,96.30382387022016,77.31628838451269,89.52333333333333,80.16053511705685,70.63813953488372,77.86491228070176,89.64880023128072,96.2,88.2012658227848,95.15568093385214,94.44561310782241,97.36517553793884,90.4507329842932,81.1924308588064,75.98996212121212,92.28108108108108,91.92592592592592
total_population,7791.414367429341,12945.942028985508,7344.317938659058,12034.170731707318,6660.833140208575,13157.817089452603,8742.833333333334,12587.10702341137,16316.0,11930.315789473685,9696.941312518069,4222.8,8696.645569620254,6931.830739299611,8037.935517970402,5869.172706681767,8771.149738219896,11191.532751091703,13250.308712121212,5102.081081081081,4868.481481481482
Ptotal_populationF,51.165275908479146,48.40724637681159,51.144579172610555,50.34634146341463,49.66025492468135,50.76595460614152,53.376666666666665,50.17491638795986,50.419534883720935,48.835087719298244,51.01734605377277,34.339999999999996,49.642405063291136,51.253385214007785,50.88546511627907,51.5,50.52193717277487,51.41397379912664,51.125189393939394,42.883783783783784,53.974074074074075
Ptotal_populationM,48.83470726783311,51.59275362318841,48.855420827389445,49.65365853658537,50.33974507531865,49.23404539385848,46.62,49.82508361204014,49.580465116279065,51.164912280701756,48.98262503613761,65.66,50.356962025316456,48.7465953307393,49.11453488372093,48.5,49.47806282722513,48.58602620087336,48.874810606060606,57.11621621621622,46.025925925925925
PEconomicallyInactive,40.19872139973082,46.64782608695652,39.176622681883025,59.575609756097556,41.617265353418304,39.339252336448595,51.64666666666667,30.957525083612037,42.290232558139536,39.07017543859649,37.506533680254414,56.720000000000006,43.60569620253165,40.14112840466926,39.410940803382665,45.50849377123443,36.300104712041886,32.90465793304221,33.88068181818182,37.505405405405405,43.32222222222222
Pwhite,89.8799798115747,49.35942028985507,90.97400142653352,74.90243902439025,94.06373117033604,51.94779706275033,83.24666666666667,67.68127090301003,39.68697674418605,69.33157894736843,80.98658571841572,88.36,81.77784810126582,92.28830739299612,89.38044397463001,96.34348810872028,82.0106282722513,69.2524017467249,53.81003787878788,89.44864864864864,90.98518518518519
Pother_ethnic,10.116352624495288,50.63623188405797,9.021825962910128,25.07560975609756,5.9325608342989575,48.05073431241656,16.746666666666666,32.31739130434782,60.3106976744186,30.66315789473684,19.010552182711766,11.58,18.211392405063293,7.7076070038910505,10.614112050739958,3.6518120045300115,17.985078534031413,30.745560407569144,46.1875,10.54054054054054,9.011111111111111
Phousehold_notdeprived,49.136827052489906,35.55652173913044,51.51037803138374,51.46829268292682,45.65017381228273,38.76742323097463,50.34666666666667,53.38628762541806,37.094883720930234,56.44385964912281,47.43570396068228,56.36,55.14873417721519,51.523657587548634,42.542970401691335,46.147451868629666,47.235968586387436,55.12678311499272,45.13674242424243,56.97837837837837,60.39259259259259
Phousehold_deprived1D,33.75625841184388,36.13768115942029,33.1368937232525,32.9390243902439,34.93603707995365,35.70787716955942,33.376666666666665,30.76789297658863,35.76930232558139,30.533333333333335,33.49381324082105,31.32,31.71012658227848,33.262256809338524,35.12542283298097,35.62231030577576,34.387958115183245,30.476710334788937,33.88825757575758,31.986486486486488,29.78518518518519
PhouseOwned,68.0893001345895,35.81594202898551,70.61273181169757,39.202439024390245,65.87056778679028,47.20854472630173,53.36333333333334,43.428428093645486,35.652093023255816,31.850877192982455,58.267649609713786,78.26,61.50886075949367,71.5614980544747,58.87584566596195,71.59037372593431,62.988534031413614,53.055604075691406,43.07651515151515,67.03243243243243,75.92592592592592
PhouseSocialRented,14.875874831763122,28.120289855072464,12.911180456490726,16.79268292682927,15.246234067207416,26.606275033377834,17.646666666666665,19.139464882943145,31.948837209302326,15.584210526315792,19.143365134431914,8.22,12.160759493670886,12.40579766536965,20.988319238900637,13.205096262740657,15.936492146596859,16.868558951965067,26.116098484848482,8.98918918918919,9.455555555555556
PhousePrivateRented,17.033512786002692,36.07391304347826,16.47450071326676,44.00243902439024,18.88041714947856,26.186248331108143,28.970000000000002,37.432441471571906,32.4046511627907,52.550877192982455,22.586990459670425,13.5,26.3253164556962,16.030875486381323,20.134672304439746,15.202434881087203,21.073769633507855,30.075254730713247,30.80738636363636,23.962162162162162,14.607407407407406
P0to15_age,17.861641991924632,20.375362318840576,17.720952211126964,7.460975609756097,16.632908458864428,22.23911882510013,11.583333333333334,15.910033444816055,21.02093023255814,9.078947368421053,18.789476727377856,9.7,14.964556962025316,17.28667315175097,19.249630021141652,15.55300113250283,19.326387434554974,17.697088791848618,19.634469696969695,15.899999999999999,18.285185185185185
P16to49_age,39.32370457604307,56.562318840579714,39.11287446504993,76.36341463414634,39.471378910776366,49.14312416555407,60.986666666666665,57.941137123745825,55.400930232558146,72.89298245614034,45.37632263660018,49.739999999999995,50.845569620253166,38.16424124513619,42.57399577167019,34.15334088335221,44.18256544502618,51.50596797671033,53.65738636363636,47.70810810810811,35.94814814814815
P50over_age,42.814333781965004,23.05072463768116,43.165941512125535,16.178048780487803,43.89385863267671,28.621228304405875,27.43,26.14715719063545,23.592093023255813,18.036842105263155,35.83313096270599,40.6,34.18860759493671,44.54865758754864,38.173044397463,50.2881087202718,36.490628272251314,30.797088791848616,26.70473484848485,36.4054054054054,45.77777777777778
Pborn_outsideEurope,5.698990578734859,24.004347826086956,5.463284593437946,15.799999999999999,3.6901506373117035,22.675300400534045,10.46,19.83010033444816,29.353953488372095,22.12982456140351,10.343596415148888,3.78,11.790506329113922,4.836536964980545,5.547463002114164,2.627406568516421,9.542303664921466,18.801601164483262,24.00776515151515,7.697297297297298,8.059259259259258
Pinemployment,56.92092866756393,46.562318840579714,58.180509985734666,34.63414634146341,55.46315179606025,55.413751668891855,42.93,64.58528428093645,51.214418604651165,55.5578947368421,58.821509106678235,40.739999999999995,52.83860759493671,57.298696498054476,57.06072938689218,51.981370328425825,60.367382198952875,63.16957787481805,60.956818181818186,60.08108108108108,54.48518518518518
Punemployment,2.8796096904441457,6.788405797101449,2.6421897289586305,5.787804878048781,2.9179606025492464,5.244859813084112,5.42,4.461204013377927,6.487906976744187,5.391228070175439,3.671783752529633,2.52,3.5556962025316454,2.559571984435798,3.5291754756871034,2.5125707814269536,3.3326178010471206,3.9240174672489085,5.1647727272727275,2.4135135135135135,2.1925925925925926
Phousehold_D2ormore,17.106763122476448,28.304347826086957,15.352478601997147,15.575609756097561,19.41587485515643,25.525634178905207,16.29,15.8438127090301,27.14,13.008771929824562,19.070742989303266,12.280000000000001,13.136708860759493,15.214143968871594,22.331818181818182,18.23035107587769,18.37560209424084,14.394323144104803,20.977272727272727,11.013513513513514,9.844444444444445
Presi_0toL1quali,28.444111709286673,34.28260869565217,26.562963623395152,9.91219512195122,32.0981460023175,34.603337783711616,15.653333333333334,18.76020066889632,31.936279069767444,10.856140350877192,28.331483087597572,29.32,17.774683544303798,26.44807392996109,34.64693446088795,31.027463193657983,30.52780104712042,18.15254730713246,26.031060606060606,23.216216216216218,17.866666666666667
Presi_L2toApprequali,22.941117092866758,18.59855072463768,22.6115727532097,8.958536585365854,24.471958285052143,20.409345794392525,13.783333333333333,14.32541806020067,17.3953488372093,9.878947368421054,21.28499566348656,25.46,16.422151898734175,22.68963035019455,24.420454545454547,24.469422423556058,23.221832460732983,14.942794759825329,17.110416666666666,24.24054054054054,19.607407407407408
