ball,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,size,average_of_dummy_variables
0,-0.1906991907248924,0.23630608726041136,-0.08832314952693539,0.07058755348749987,-0.07058932487230267,0.08210609073441685,0.20342934090961562,-0.20341221209995689,-0.051119783702103586,0.10024794904407702,0.1398489544752312,-0.03826284635878943,-0.18113098216033321,-0.006625807192446505,-0.20455262512456726,0.1768532465614547,-0.23627801108753285,-0.05311966859321051,-0.1400980815673764,0.0222682470421812,0.13090876685713138,0.23745824689550374,-0.18263686887337147,-0.04829303148250069,0.20619571147031598,0.13411840542499043,-0.15228029118018574,-0.02357645662582004,-0.02152130770981083,-0.035032242069612,-0.06979562913046695,0.026454924831472534,0.26598250336473755,0.2691790040376851,0.43808882907133245,0.04912516823687752,0.48620457604306866,0.5506393001345895,0.27641318977119783,0.6318977119784657,5944.0,0.37094128532974424
1,1.1140465444782703,-1.897179266240868,1.050995015990404,-1.8766992187637581,1.8767137769909905,1.0738007605987265,-2.1701235599191633,2.1698793078604672,-1.6844849135269757,0.9419558362730265,-1.983778040239049,1.2527465901704908,1.8090883411800842,0.7022751474853458,1.778092420743256,-1.76308253517435,1.8970047130056888,-1.643025844508848,2.771585059580674,1.7823841689503308,0.9007035912697408,-0.9056683655713124,-0.3279306337494166,-1.876523445714089,-1.7217461484305128,0.417535911242031,3.1812590282354907,-0.098724039166002,0.03586146308972996,-0.0022633521010121827,0.33428675914978107,-0.5632955102872796,0.028985507246376812,0.0,0.43478260869565216,0.782608695652174,0.0,0.43478260869565216,0.18840579710144928,0.463768115942029,69.0,0.29166666666666663
2,-0.2477471817576643,0.2636663104646617,-0.18714599353552236,0.0559747730502647,-0.05596463276139565,-0.07506453987614675,0.26751330738009416,-0.2675197783557871,0.23435799557676462,-0.11866494409470764,0.3058938888538857,-0.22977292618554562,-0.23956234988868855,-0.04630210644218848,-0.22880058778942175,0.2113659922797941,-0.2637468826099398,0.14020898749834218,-0.3169534816359583,-0.25348265797727515,-0.11711706305332197,0.15070979616234678,0.030514497213273487,0.19413266596472958,0.21344584246458448,-0.07825347000931171,-0.3066168362865997,-0.03667019109279054,-0.14234715719725669,-0.14811373765300453,-0.10305492233579096,-0.0452088727690636,0.284058487874465,0.2944008559201141,0.5133737517831669,0.05099857346647646,0.5816690442225392,0.5155135520684736,0.3459343794579173,0.5998573466476462,5608.0,0.3982257489300998
3,1.0038452819837609,-0.9404999656282984,0.8494639213890538,-0.5076151792623758,0.5076266078728562,3.0617378122704944,-0.6739027049040087,0.6727670545734636,0.22929619916940247,-0.188601362735019,-1.7609423373838344,0.148579481852078,2.6378264664000244,-2.939745394386294,4.055453226862802,-2.437683500732167,0.9408805989912078,-3.4738386119063613,2.0262320793981417,-0.21840931784176837,-2.312489509906827,-3.443282249329165,2.95019580909321,-1.9917818562348504,-3.6029913067834625,-1.8327151626068567,6.517652487341753,0.20763743311072824,0.3747068254083092,0.24164690782269052,2.2327655147271432,-0.4937066146770524,0.04878048780487805,0.0,1.0,1.0,0.5121951219512195,0.6341463414634146,0.9024390243902439,0.6585365853658537,41.0,0.5945121951219512
4,-0.3552684398369734,0.47054609434846884,-0.33821835124879923,-0.9920216100692341,0.9920341459941209,0.3002390791206375,0.4484988881011224,-0.4484612536666262,-0.4704754381543586,0.517237755302992,-0.006146386090648465,-0.0021617979528869694,0.011918780599157942,-0.35314421868959,-0.1875683255940006,0.2828161235784966,-0.47038562694006425,-0.2768686551679319,-0.1115302818722503,0.3852308352907412,0.6126863019950464,0.6404331603131616,-0.6823147183943735,-0.5313352980930742,0.4247551289363947,0.7250204510982002,-0.11867001102952243,-0.24516240689893376,-0.10795221340051468,-0.12793348598654833,-0.28826787931238923,-0.09262943288215823,0.3383545770567787,0.3290845886442642,0.1425260718424102,0.04866743916570104,0.21436848203939746,0.5573580533024334,0.054461181923522596,0.5955967555040557,863.0,0.2850521436848204
5,1.1682659506863442,-1.7421012492726382,1.0978262915329957,-0.21135035942891559,0.2113611108016835,-0.05005657839677853,-2.0185054857795333,2.018444022914333,-1.2982951769146713,0.7900426958629306,-1.2341306515505304,1.1051668429024557,0.7755690292347361,1.2278780765094075,0.9247970606266811,-1.2162988325379682,1.7421192401836427,-0.2844509049666891,1.6217893944664155,1.3456062152858168,0.9429911170838849,-0.4289990740885872,-0.5324586806153968,-1.0421144950120627,-0.6435935427243414,0.5184831762773273,1.333972818858552,-0.05408414967845507,0.44131319762648713,0.5938088568752242,0.20835403235950037,0.2520239358581822,0.017356475300400534,0.0,0.30574098798397864,0.3658210947930574,0.025367156208277702,0.6969292389853138,0.32176234979973295,0.774365821094793,749.0,0.31341789052069424
6,0.10345657907555088,-0.31959512151305286,0.12197136862196671,1.6319239794588551,-1.634270922897881,1.8424847561026862,-0.1851269831649033,0.18493218523055197,0.094393133193301,-0.03391779963192809,-0.8291379269049155,0.23182219697632583,1.066543813792351,-1.7771883292760884,2.2869448820825062,-1.3332261809318113,0.31856388630833254,-2.2005375428921954,1.7522522571140677,-0.10611638360362903,-1.5555312564932915,-2.173214484171629,1.9294116747960486,-1.1409269410339216,-2.3317231372823866,-1.1841606939846712,3.9885938094947204,-0.012876705747450626,-0.18998298415929984,-0.25455107687923717,1.2560481549498426,-0.7456266521583366,0.13333333333333333,0.1,1.0,0.8333333333333334,0.5,0.5,0.4666666666666667,0.5333333333333333,30.0,0.5083333333333334
7,1.6125371626034712,-1.4106567086104729,0.9716808155209274,-0.6286486120202243,0.6286603173034637,-1.338935367627625,-1.0968935210275397,1.0969257404316435,0.4599821805194532,-0.95598230630919,-1.4828670147764986,0.37733383948037214,1.9510900581785338,-0.5570041239004168,1.9366728725313707,-1.4591461305756521,1.4105432941065514,1.1232550117592732,1.0380399948542953,-0.17625127213329225,-1.145896653505888,-2.0305174186696546,1.5807807501572302,0.5893918240934652,-1.4705260829169104,-0.8735639554413893,0.6186218025745028,0.15499480049206482,0.9655464074796923,0.7763447327103773,0.9264301427213673,0.1542112980016017,0.0033444816053511705,0.0033444816053511705,0.9665551839464883,0.862876254180602,0.6956521739130435,0.8494983277591973,0.822742474916388,0.8729096989966555,299.0,0.6346153846153846
8,1.7192116656948937,-2.520316427517362,1.7958873741903292,-0.45593749505277203,0.45594880553219436,0.40372289932244904,-2.7367015318649717,2.7365228428357473,-1.4994591162315183,0.8117532629390993,-1.9945595080517908,1.6259371579540534,1.425554602467125,0.8843334717322624,1.6445189597511936,-1.7099434604937231,2.520440857182277,-0.9289915996234748,2.547741879917522,1.5993637050217127,0.5913444519929717,-1.2223963050110922,0.014735008671006052,-1.2576862226848282,-1.5518349006442747,0.0012063409666510296,2.5916274361540297,0.5743947097681965,1.9119460341909729,1.6493058274222292,1.3108298399715517,0.9999074211503023,0.0,0.0,0.5162790697674419,0.7209302325581395,0.04186046511627907,0.9395348837209302,0.46511627906976744,0.9627906976744186,215.0,0.4558139534883721
9,1.5077510624466324,-1.6781692446444674,0.8265086032620367,-1.5746249380932558,1.574638805802812,-0.09143319396205457,-1.0002242377752122,1.000035567143715,0.8277302841305318,-1.0388868229283064,-2.2446842246520773,0.030782714678720246,3.531361612586528,-2.4834568757003233,3.656312376028943,-2.2552299996910223,1.678550189424158,-0.2623268981957681,1.7308198925899143,-0.6218831246103357,-2.188032110433451,-3.200995552639969,2.7718395202553032,-0.13339505111949038,-2.77542853815592,-1.6498383166132056,3.100408152480843,0.33170164916523903,0.16151927584482925,0.1465176143186132,0.9880922389098701,-0.5535214237347376,0.0,0.0,1.0,1.0,0.8245614035087719,0.631578947368421,0.9122807017543859,0.5614035087719298,57.0,0.6162280701754386
