cluster21,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,size
0,3037.3506542056075,94.21813084112149,8499.370093457945,51.05906542056074,48.94093457943926,35.23046728971963,89.13046728971963,10.86411214953271,48.11514018691589,33.73009345794392,65.0188785046729,17.978130841121494,17.002242990654207,19.75588785046729,43.62280373831776,36.61570093457944,5.77177570093458,61.68990654205607,3.077196261682243,18.154018691588785,30.202056074766357,24.06355140186916,45.73196261682243,40.638130841121495,19.43626168224299,27.33177570093458,12.593831775700934,0.028037383177570093,1.0018691588785047,1.1289719626168224,0.11775700934579439,2.0355140186915888,0.09345794392523364,0.024299065420560748,0.13271028037383178,0.016822429906542057,0.2616822429906542,0.5046728971962616,0.10093457943925234,0.6878504672897197,535
1,1038.6914742451156,93.28241563055062,6716.61811722913,51.182060390763766,48.817939609236234,38.33889875666075,90.85932504440498,9.13392539964476,61.14529307282416,29.449200710479577,77.54404973357016,8.163055062166963,14.289520426287744,18.530017761989342,37.01847246891652,44.45204262877442,6.707282415630551,59.49147424511545,2.1682060390763764,9.405683836589697,18.155772646536413,19.17708703374778,62.66483126110125,61.18880994671404,15.023268206039077,13.244404973357017,10.534635879218472,0.08880994671403197,0.9786856127886323,0.8241563055062167,0.22380106571936056,2.3285968028419184,0.31438721136767317,0.46003552397868563,1.0,0.0,1.0,0.5044404973357016,0.9769094138543517,0.5293072824156305,563
2,12883.17955801105,73.3292817679558,13004.243093922652,51.69281767955801,48.30718232044199,31.56243093922652,51.3,48.70883977900552,46.03149171270719,32.52209944751381,30.223204419889502,35.661325966850825,34.11878453038674,16.470165745856352,59.45635359116022,24.07182320441989,26.65966850828729,62.675138121546965,5.757458563535911,21.454696132596688,21.487292817679556,13.65082872928177,64.86077348066298,49.24585635359116,11.720994475138122,16.83038674033149,22.202762430939224,0.03867403314917127,2.5248618784530388,2.1988950276243093,0.5248618784530387,2.2154696132596685,0.0,0.0,1.0,0.9723756906077348,0.23756906077348067,0.7734806629834254,0.9447513812154696,0.8121546961325967,181
3,2316.9552727272726,97.31163636363637,7024.149090909091,51.22781818181818,48.77218181818182,42.08218181818182,95.1630909090909,4.829818181818182,41.718909090909094,35.42436363636364,62.141090909090906,19.73690909090909,18.11618181818182,18.095090909090906,39.72218181818182,42.178000000000004,2.6805454545454546,54.72527272727273,3.1954545454545453,22.855818181818183,35.417272727272724,25.144363636363636,39.44145454545455,33.605636363636364,18.946727272727273,33.012,14.431272727272727,0.07636363636363637,1.0018181818181817,1.221818181818182,0.10545454545454545,1.9436363636363636,0.2381818181818182,0.08363636363636363,0.0036363636363636364,0.0,0.0,0.5418181818181819,0.0,0.7,550
4,5262.225625,79.96687499999999,13363.9875,50.96375,49.03625,40.816874999999996,52.654999999999994,47.343125,36.239999999999995,36.074374999999996,46.870625000000004,29.23,23.904374999999998,24.24875,47.890625,27.86625,20.02375,53.86125,5.33,27.685000000000002,38.115625,21.44125,40.45125,29.752499999999998,15.361250000000002,29.9275,24.96875,0.0625,1.775,1.55625,0.2875,2.53125,0.00625,0.0,0.05,0.18125,0.0,0.6625,0.14375,0.73125,160
5,4468.698969072165,87.17628865979381,11347.463917525773,50.70412371134021,49.294845360824745,43.84742268041237,79.20309278350516,20.795876288659795,49.6020618556701,33.06391752577319,48.853608247422684,18.391752577319586,32.74226804123711,13.328865979381444,58.05154639175258,28.630927835051544,12.82680412371134,51.29793814432989,4.848453608247423,17.32783505154639,18.65257731958763,15.287628865979382,66.04948453608247,38.355670103092784,12.016494845360825,17.062886597938146,32.55979381443299,0.17525773195876287,2.0618556701030926,1.7422680412371134,0.9175257731958762,1.907216494845361,0.030927835051546393,0.030927835051546393,1.0,0.865979381443299,0.4845360824742268,0.6494845360824743,0.4536082474226804,0.6804123711340206,97
6,1540.3006342494714,95.81120507399577,11596.120507399577,51.35095137420719,48.64904862579281,40.51162790697674,92.65285412262158,7.3486257928118395,51.49260042283298,33.33594080338266,73.7860465116279,11.080549682875265,15.129175475687104,17.1723044397463,38.09238900634249,44.73678646934461,4.1739957716701905,57.026427061310784,2.460042283298097,15.167019027484145,25.99154334038055,23.123044397463005,50.8938689217759,47.56215644820296,18.525581395348837,22.09661733615222,11.815221987315011,0.4418604651162791,2.477801268498943,2.1585623678646932,0.572938689217759,4.141649048625792,0.010570824524312896,0.27906976744186046,0.5391120507399577,0.0021141649048625794,0.6257928118393234,0.8520084566596194,0.22832980972515857,0.919661733615222,473
7,6012.616071428572,80.90535714285714,12955.839285714286,49.776785714285715,50.223214285714285,56.574999999999996,70.09642857142858,29.892857142857142,51.512499999999996,32.69285714285714,35.61607142857143,17.79642857142857,46.582142857142856,8.189285714285715,76.3625,15.44107142857143,19.087500000000002,37.364285714285714,6.069642857142857,15.7875,10.916071428571428,9.141071428571427,79.93214285714285,24.84642857142857,6.464285714285714,9.3125,59.38928571428572,0.26785714285714285,2.5892857142857144,1.6785714285714286,1.0714285714285714,1.3035714285714286,0.017857142857142856,0.0,1.0,1.0,0.5178571428571429,0.625,0.8928571428571429,0.6428571428571429,56
8,1319.3916149068323,95.8667701863354,5816.928571428572,50.94503105590062,49.05496894409938,36.37018633540373,93.597049689441,6.399223602484472,55.568633540372666,32.14813664596274,76.69534161490682,9.720962732919254,13.581832298136646,18.098291925465837,39.33804347826087,42.56801242236025,4.129968944099379,61.39270186335404,2.2392857142857143,12.285869565217391,24.307142857142857,23.110403726708075,52.58198757763976,50.709472049689445,18.902950310559007,20.182142857142857,10.201242236024845,0.06055900621118013,0.6413043478260869,0.6133540372670807,0.07298136645962733,1.6350931677018634,0.37577639751552794,0.3136645962732919,0.7562111801242236,0.0,0.9906832298136646,0.37577639751552794,0.5403726708074534,0.4891304347826087,644
9,7811.00989010989,79.52967032967032,11174.21978021978,51.52582417582418,48.47417582417582,30.385714285714286,72.07307692307693,27.925824175824175,59.425824175824175,28.515934065934065,48.58956043956044,14.371978021978022,37.035714285714285,16.12197802197802,55.152197802197804,28.723076923076924,20.463186813186812,65.83351648351649,3.79010989010989,12.0489010989011,13.066483516483515,11.487362637362637,75.43956043956044,62.61208791208791,10.617032967032968,10.71923076923077,16.057692307692307,0.04395604395604396,2.0549450549450547,1.8846153846153846,0.5164835164835165,1.835164835164835,0.0,0.0,1.0,0.7087912087912088,0.989010989010989,0.7142857142857143,0.9835164835164835,0.7527472527472527,182
