index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
63,E05009857,Central (Middlesbrough),,2002.9,68.0,11490,44.0,56.0,53.8,44.7,55.2,33.2,36.0,25.9,30.3,43.8,18.0,62.5,19.499999999999996,32.0,35.9,10.2,30.8,35.0,16.900000000000002,48.1,16.0,9.2,21.0,53.900000000000006,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,16,1
98,E05009866,Newport (Middlesbrough),,5005.3,74.6,10776,46.5,53.5,48.8,59.8,40.2,30.4,38.3,27.4,23.1,49.5,22.6,54.2,23.2,25.3,41.4,9.8,31.299999999999997,42.4,19.0,38.6,15.0,10.5,31.5,43.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,25,1
102,E05009867,North Ormesby,Middlesbrough,4067.3,85.5,3264,46.9,53.1,50.4,74.3,25.700000000000003,27.2,37.7,30.6,20.6,48.8,20.9,48.8,30.3,14.500000000000002,40.099999999999994,9.4,35.0,45.5,22.9,31.6,16.0,11.7,37.3,35.0,0,6.0,1.0,0,2.0,1,0,0,0,0,1,0,1,26,1
382,E05010424,Northgate (Darlington),,5196.2,87.3,4145,47.5,52.5,39.2,76.8,23.2,36.7,35.9,34.800000000000004,12.0,53.2,19.5,52.0,28.499999999999996,12.6,54.8,6.0,27.4,37.099999999999994,24.9,37.900000000000006,25.1,16.6,35.7,22.5,0,0.0,0.0,0,0.0,1,0,0,1,0,0,0,0,94,1
998,E05011436,Arthur's Hill,Newcastle upon Tyne,10312.3,71.1,13278,48.0,52.0,61.2,53.4,46.599999999999994,36.0,35.9,16.299999999999997,49.2,34.5,14.7,72.10000000000001,13.1,28.9,30.6,8.3,28.1,23.5,10.7,65.9,14.5,7.4,13.8,64.39999999999999,1,1.0,1.0,1,2.0,0,0,1,1,0,1,1,1,231,1
1035,E05011445,Elswick,Newcastle upon Tyne,5406.9,72.8,16126,48.2,51.8,53.4,43.5,56.6,26.0,37.4,19.3,50.7,30.0,28.9,50.1,21.1,27.200000000000003,39.5,7.1,36.6,49.5,18.0,32.5,19.1,11.3,29.2,40.3,1,5.0,3.0,1,5.0,0,0,0,1,0,1,0,1,240,1
1305,E05001158,Hendon (Sunderland),,2983.3,91.4,11458,48.7,51.3,50.1,84.5,15.4,31.9,34.7,31.3,36.5,32.2,16.4,48.400000000000006,35.2,8.700000000000001,42.6,7.3,33.5,37.2,21.3,41.5,22.6,14.0,29.9,33.5,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,300,1
1322,E05001161,Millfield (Sunderland),,4319.1,79.2,10616,49.1,50.9,44.1,68.2,31.9,41.0,34.9,51.7,13.5,34.9,17.2,49.1,33.8,20.7,49.7,6.2,24.1,32.2,20.8,47.2,28.7,15.6,25.9,29.8,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,303,1
1698,E05011508,Audley & Queen's Park,Blackburn with Darwen,5676.6,71.8,10902,49.0,51.0,49.4,22.4,77.5,29.0,35.6,52.00000000000001,28.0,20.0,27.1,48.2,24.700000000000003,28.1,45.9,4.7,35.4,43.8,22.0,34.2,21.7,13.5,29.700000000000003,35.3,0,3.0,2.0,0,4.0,0,0,0,0,0,1,0,1,382,1
1755,E05011523,Wensley Fold,Blackburn with Darwen,9111.2,73.8,9503,48.9,51.1,48.3,27.8,72.3,31.2,36.4,50.5,21.8,27.7,26.2,49.0,24.800000000000004,26.2,47.0,4.8,32.5,42.4,21.1,36.4,24.5,14.5,28.4,32.6,0,2.0,1.0,0,1.0,0,0,0,0,0,1,0,1,397,1
