index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
42,E05013049,Victoria (Hartlepool),,5344.4,93.2,7488,51.0,49.0,48.2,89.2,10.8,34.8,34.3,44.8,22.2,33.0,19.0,44.7,36.3,6.699999999999999,45.6,6.2,30.8,36.5,23.5,40.0,24.4,15.7,33.400000000000006,26.5,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,11,5
54,E05009854,Ayresome,Middlesbrough,3676.4,93.4,6309,52.9,47.1,40.1,82.2,17.8,41.9,34.8,63.0,22.8,14.2,24.3,43.8,31.8,6.5,55.3,4.6000000000000005,23.300000000000004,34.0,22.9,43.1,28.200000000000003,18.5,32.5,20.9,0,0.0,0.0,0,1.0,0,0,0,0,0,0,0,0,13,5
59,E05009855,Berwick Hills & Pallister,Middlesbrough,4164.4,97.2,9065,53.1,46.9,47.2,94.1,5.8,32.0,34.5,39.2,42.6,18.2,27.3,42.1,30.6,2.9,47.3,5.5,33.6,44.6,25.0,30.5,15.8,15.0,41.599999999999994,27.6,0,2.0,1.0,0,3.0,0,0,0,0,0,1,0,1,14,5
84,E05009862,Linthorpe,Middlesbrough,5471.5,88.1,6708,50.3,49.7,41.9,66.3,33.8,49.3,35.3,73.19999999999999,3.5,23.4,20.0,42.5,37.6,12.0,54.4,3.6,15.4,29.0,20.8,50.2,38.7,17.7,21.4,22.1,0,2.0,1.0,0,1.0,0,0,1,0,0,1,0,1,21,5
90,E05009863,Longlands & Beechwood,Middlesbrough,3599.1,92.3,11232,51.6,48.4,48.5,83.8,16.2,35.8,33.7,40.50000000000001,43.2,16.3,23.2,44.099999999999994,32.800000000000004,7.7,46.7,4.699999999999999,30.5,40.5,23.1,36.3,22.7,15.0,34.8,27.7,0,12.0,1.0,0,2.0,0,0,0,0,0,1,0,1,22,5
99,E05009866,Newport (Middlesbrough),,5005.3,74.6,10776,46.5,53.5,48.8,59.8,40.2,30.4,38.3,27.4,23.1,49.5,22.6,54.2,23.2,25.3,41.4,9.8,31.299999999999997,42.4,19.0,38.6,15.0,10.5,31.5,43.0,0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,25,5
103,E05009867,North Ormesby,Middlesbrough,4067.3,85.5,3264,46.9,53.1,50.4,74.3,25.700000000000003,27.2,37.7,30.6,20.6,48.8,20.9,48.8,30.3,14.500000000000002,40.099999999999994,9.4,35.0,45.5,22.9,31.6,16.0,11.7,37.3,35.0,0,6.0,1.0,0,2.0,1,0,0,0,0,1,0,1,26,5
110,E05009869,Park (Middlesbrough),,5946.9,86.9,9587,50.2,49.8,42.8,69.7,30.299999999999997,46.5,33.3,61.6,7.1,31.3,21.8,45.7,32.4,13.1,52.5,4.8,20.2,30.3,20.4,49.400000000000006,32.9,16.4,25.799999999999997,24.799999999999997,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,28,5
268,E05001536,Hardwick and Salters Lane,Stockton-on-Tees,3872.4,95.9,7926,52.5,47.5,43.6,93.4,6.6,35.3,32.2,39.9,41.3,18.8,24.6,44.5,30.9,4.199999999999999,50.9,5.5,32.400000000000006,40.0,24.5,35.5,23.6,15.1,38.0,23.4,0,4.0,1.0,0,2.0,0,0,0,0,0,1,0,1,65,5
280,E05001540,Mandale and Victoria,Stockton-on-Tees,2250.7,92.5,10508,50.5,49.5,42.3,85.6,14.4,37.8,34.4,39.7,30.7,29.6,22.200000000000003,47.5,30.200000000000003,7.5,52.0,5.6000000000000005,27.7,35.5,24.2,40.3,24.9,16.0,34.6,24.5,0,1.0,3.0,0,3.0,0,0,0,0,0,1,0,1,69,5
285,E05001541,Newtown (Stockton-on-Tees),,3857.0,93.6,7113,51.3,48.7,45.0,88.5,11.4,35.1,34.8,43.7,32.4,23.9,22.5,43.3,34.2,6.3999999999999995,48.7,6.3,30.200000000000003,36.2,25.6,38.099999999999994,23.200000000000003,14.7,36.099999999999994,25.9,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,70,5
308,E05001546,Parkfield and Oxbridge,Stockton-on-Tees,2147.9,88.6,9722,48.7,51.3,37.6,73.3,26.6,42.3,33.2,53.900000000000006,15.3,30.9,23.1,49.2,27.7,11.4,56.5,5.8,24.5,31.2,22.5,46.3,33.5,16.299999999999997,26.299999999999997,24.0,0,0.0,1.0,0,2.0,0,0,0,0,0,0,0,1,75,5
384,E05010424,Northgate (Darlington),,5196.2,87.3,4145,47.5,52.5,39.2,76.8,23.2,36.7,35.9,34.800000000000004,12.0,53.2,19.5,52.0,28.499999999999996,12.6,54.8,6.0,27.4,37.099999999999994,24.9,37.900000000000006,25.1,16.6,35.7,22.5,0,0.0,0.0,0,0.0,1,0,0,1,0,0,0,0,94,5
1005,E05011438,Blakelaw,Newcastle upon Tyne,3736.6,87.89999999999999,11468,51.8,48.2,44.2,79.5,20.5,36.8,33.8,40.8,41.5,17.6,23.5,45.3,31.2,12.3,51.5,4.4,29.4,40.2,21.9,38.1,26.3,15.8,33.5,24.5,1,1.0,2.0,1,2.0,0,0,0,0,0,1,0,1,233,5
1011,E05011439,Byker,Newcastle upon Tyne,4862.0,88.2,12032,48.4,51.6,45.9,78.4,21.700000000000003,34.3,34.0,22.7,54.5,22.8,18.6,50.1,31.4,11.8,47.599999999999994,6.5,31.8,37.6,21.0,41.5,24.8,13.6,33.3,28.4,1,4.0,3.0,1,2.0,0,0,0,1,0,1,0,1,234,5
1036,E05011445,Elswick,Newcastle upon Tyne,5406.9,72.8,16126,48.2,51.8,53.4,43.5,56.6,26.0,37.4,19.3,50.7,30.0,28.9,50.1,21.1,27.200000000000003,39.5,7.1,36.6,49.5,18.0,32.5,19.1,11.3,29.2,40.3,1,5.0,3.0,1,5.0,0,0,0,1,0,1,0,1,240,5
1055,E05011449,Kenton (Newcastle upon Tyne),,5564.8,91.1,11528,51.3,48.7,42.0,84.9,15.1,39.5,34.4,47.50000000000001,41.7,10.8,21.5,44.9,33.6,8.799999999999999,53.099999999999994,4.8999999999999995,26.2,33.4,21.4,45.2,31.799999999999997,16.700000000000003,29.1,22.5,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,244,5
1094,E05011460,West Fenham,Newcastle upon Tyne,4725.8,88.2,10875,52.2,47.8,40.8,77.2,22.8,42.1,35.6,55.1,23.6,21.2,19.8,44.4,35.900000000000006,11.8,55.1,4.0,22.2,34.8,22.4,42.8,31.9,17.6,28.7,21.7,1,2.0,2.0,1,2.0,0,0,0,0,0,1,0,1,255,5
1100,E05011461,Wingrove,Newcastle upon Tyne,2907.0,75.1,11670,49.6,50.4,43.5,47.3,52.8,43.4,34.4,50.6,20.8,28.5,23.4,50.2,26.500000000000004,24.9,51.2,5.3,22.2,31.4,16.3,52.2,37.4,12.7,19.5,30.3,1,4.0,3.0,1,2.0,0,0,1,1,0,1,1,1,256,5
1195,E05001135,Beacon and Bents,South Tyneside,3474.2,88.2,8796,49.4,50.6,46.4,75.0,25.0,40.9,33.2,50.400000000000006,27.5,22.1,17.1,43.0,40.0,11.8,47.9,5.7,25.8,32.4,24.4,43.2,31.6,16.5,27.0,24.8,0,1.0,4.0,0,3.0,0,0,0,0,0,1,0,1,277,5
1254,E05001148,Simonside and Rekendyke,South Tyneside,3515.1,94.1,8669,48.9,51.1,46.8,87.7,12.3,34.7,35.0,40.0,40.1,19.8,17.4,44.7,37.8,5.8999999999999995,46.8,6.4,30.4,36.8,24.4,38.8,25.4,18.1,32.1,24.5,0,3.0,2.0,0,4.0,0,0,0,0,0,1,0,1,290,5
1307,E05001158,Hendon (Sunderland),,2983.3,91.4,11458,48.7,51.3,50.1,84.5,15.4,31.9,34.7,31.3,36.5,32.2,16.4,48.400000000000006,35.2,8.700000000000001,42.6,7.3,33.5,37.2,21.3,41.5,22.6,14.0,29.9,33.5,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,300,5
1324,E05001161,Millfield (Sunderland),,4319.1,79.2,10616,49.1,50.9,44.1,68.2,31.9,41.0,34.9,51.7,13.5,34.9,17.2,49.1,33.8,20.7,49.7,6.2,24.1,32.2,20.8,47.2,28.7,15.6,25.9,29.8,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,303,5
1330,E05001162,Pallion,Sunderland,3562.2,93.7,11357,52.7,47.3,45.8,91.0,8.9,35.7,35.4,49.3,34.7,16.0,19.700000000000003,44.7,35.4,6.299999999999999,49.2,4.9,28.9,37.5,23.8,38.7,23.2,16.7,34.0,26.1,0,6.0,3.0,0,1.0,0,0,0,0,0,1,0,1,304,5
1432,E05001073,Deckham,Gateshead,6426.5,93.3,9544,52.0,48.0,44.1,89.3,10.6,37.6,34.1,42.099999999999994,38.4,19.5,19.799999999999997,44.099999999999994,36.2,6.799999999999999,50.7,5.1,28.200000000000003,37.1,22.7,40.3,27.799999999999997,17.9,32.4,21.9,0,0.0,2.0,0,2.0,0,0,0,0,0,0,0,1,325,5
1449,E05001076,Felling,Gateshead,3056.8,92.6,8891,51.9,48.1,46.8,88.5,11.5,32.3,34.3,34.400000000000006,49.8,15.9,19.7,43.4,37.0,7.300000000000001,47.6,5.7,33.3,42.1,23.5,34.3,23.799999999999997,16.1,35.6,24.6,0,2.0,1.0,0,5.0,0,0,0,0,0,1,0,1,328,5
1461,E05001079,Lobley Hill and Bensham,Gateshead,2587.3,92.3,10053,49.7,50.3,42.4,87.6,12.4,40.2,33.2,49.7,28.7,21.6,17.3,42.9,39.7,7.7,53.5,4.1,26.500000000000004,37.0,24.2,38.8,29.6,17.0,33.1,20.2,0,2.0,3.0,0,2.0,0,0,0,0,0,1,0,1,331,5
1699,E05011508,Audley & Queen's Park,Blackburn with Darwen,5676.6,71.8,10902,49.0,51.0,49.4,22.4,77.5,29.0,35.6,52.00000000000001,28.0,20.0,27.1,48.2,24.700000000000003,28.1,45.9,4.7,35.4,43.8,22.0,34.2,21.7,13.5,29.700000000000003,35.3,0,3.0,2.0,0,4.0,0,0,0,0,0,1,0,1,382,5
1700,E05011509,Bastwell & Daisyfield,Blackburn with Darwen,9424.1,67.3,9017,50.6,49.4,50.2,10.3,89.69999999999999,26.5,37.4,54.1,27.1,18.9,25.7,49.6,24.6,32.800000000000004,44.3,5.5,36.099999999999994,46.3,19.0,34.7,22.5,12.8,26.5,38.3,0,1.0,2.0,0,1.0,0,0,0,0,0,1,0,1,383,5
1703,E05011510,Billinge & Beardwood,Blackburn with Darwen,1880.4,80.9,9481,50.6,49.4,43.3,28.7,71.3,51.8,33.1,83.8,2.0,14.2,24.8,45.0,30.1,19.1,53.9,2.8,15.1,27.7,19.7,52.5,44.0,15.6,17.8,22.5,0,2.0,2.0,0,4.0,0,0,1,0,1,1,1,1,384,5
1706,E05011511,Blackburn Central,Blackburn with Darwen,3085.4,78.1,9279,49.4,50.6,51.7,44.2,55.8,26.5,35.4,28.0,50.7,21.3,23.5,49.3,27.3,22.0,42.400000000000006,6.0,38.1,46.0,21.7,32.3,19.0,13.2,33.7,34.0,0,12.0,7.0,0,8.0,0,0,0,0,0,1,0,1,385,5
1714,E05011514,Darwen East,Blackburn with Darwen,3562.1,94.9,9957,50.6,49.4,44.4,87.4,12.7,35.3,34.7,45.7,20.9,33.5,20.1,45.4,34.800000000000004,5.099999999999999,51.1,4.5,30.0,38.9,23.9,37.1,26.7,18.5,34.9,20.0,0,1.0,3.0,0,2.0,0,0,0,0,0,1,0,1,388,5
