index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
2718,E05013075,"Croston, Mawdesley & Euxton South",Chorley,225.4,97.5,9551,41.5,58.5,48.2,95.9,4.1,59.0,30.7,81.39999999999999,6.4,12.1,14.0,41.5,44.5,2.5,49.2,2.5999999999999996,10.3,25.0,23.1,51.8,48.8,16.1,22.4,12.7,0,5.0,1.0,0,4.0,0,1,1,0,1,1,0,1,622,19
5560,E05014312,Scotton & Lower Wensleydale,Richmondshire,67.2,86.2,7083,41.4,58.6,36.1,85.5,14.4,55.7,34.0,65.1,4.6,30.4,16.4,46.9,36.7,13.8,61.9,2.0,10.3,25.6,26.1,48.400000000000006,45.7,24.1,18.4,11.7,0,1.0,0.0,0,4.0,0,1,0,0,1,1,1,0,1300,19
6697,E05012634,Cottesmore,Rutland,169.0,90.5,3648,39.1,60.9,34.3,88.1,11.9,59.5,31.9,59.3,10.1,30.7,17.8,54.099999999999994,28.0,9.6,64.4,1.3,8.5,21.5,27.2,51.4,47.0,25.5,18.4,9.2,0,2.0,0.0,0,2.0,1,1,1,1,1,1,1,0,1600,19
7424,E05003353,Doveridge and Sudbury,Derbyshire Dales,82.7,96.6,2683,41.8,58.2,48.3,90.8,9.3,54.9,34.9,77.60000000000001,5.1,17.2,14.1,43.7,42.3,3.4,47.8,3.9,10.3,22.700000000000003,26.699999999999996,50.7,50.2,15.0,21.1,13.8,0,2.0,0.0,0,2.0,1,1,1,0,1,1,0,0,1760,19
8094,E05011972,Lubenham,Harborough,88.3,95.7,2995,39.8,60.2,48.4,91.9,8.1,59.6,30.2,78.9,7.5,13.6,12.0,43.5,44.7,4.2,50.2,1.3,10.2,21.8,21.4,56.8,52.2,14.7,23.2,9.7,0,1.0,0.0,0,2.0,1,1,1,0,1,1,0,0,1914,19
8750,E05005618,Ashby de la Launde and Cranwell,North Kesteven,60.8,97.1,5829,46.5,53.5,32.0,97.1,2.8,56.0,32.7,61.1,8.4,30.4,17.4,47.0,35.5,2.8,66.39999999999999,1.7,11.3,20.6,20.499999999999996,58.900000000000006,52.2,19.299999999999997,17.8,10.6,0,2.0,0.0,0,3.0,0,1,1,0,1,1,1,0,2068,19
9818,E05010076,Lowdham,Newark and Sherwood,367.9,97.3,3519,39.3,60.7,51.2,89.2,10.8,54.7,33.1,84.9,7.5,7.5,10.5,43.900000000000006,45.599999999999994,2.6,43.5,5.3,12.2,25.8,26.5,47.8,47.3,15.4,21.3,16.0,0,1.0,1.0,0,1.0,1,0,0,0,1,1,0,1,2294,19
9896,E05009714,Cranmer,Rushcliffe,121.1,97.1,3360,39.3,60.7,52.5,94.6,5.4,55.8,33.8,80.8,6.7,12.4,12.0,38.099999999999994,49.8,2.9000000000000004,45.2,2.3,10.4,25.0,24.4,50.599999999999994,49.3,16.4,21.9,12.3,0,1.0,0.0,0,1.0,1,1,1,0,1,1,0,0,2312,19
10644,E05008162,Hodnet,Shropshire,52.1,96.6,4897,39.7,60.3,45.8,93.8,6.300000000000001,49.3,35.3,77.0,9.0,14.0,11.2,46.4,42.3,3.3,52.1,2.1,15.4,28.299999999999997,25.9,45.8,46.2,18.5,22.0,13.3,0,4.0,0.0,0,2.0,0,1,0,0,0,1,0,0,2477,19
10739,E05008189,Shifnal South and Cosford,Shropshire,152.9,94.2,7598,42.2,57.8,29.3,91.7,8.3,59.2,30.5,67.39999999999999,9.1,23.5,14.5,53.5,31.999999999999996,5.8,68.19999999999999,2.5,10.2,16.5,21.8,61.7,53.1,20.9,13.4,12.6,0,2.0,1.0,0,1.0,0,1,1,1,1,1,1,1,2498,19
10930,E05006924,Crown,East Staffordshire,85.9,96.1,3503,37.3,62.7,51.5,89.8,10.1,58.3,29.9,81.7,6.0,12.3,9.3,46.7,44.099999999999994,3.8,45.1,3.4,11.7,28.2,24.5,47.3,46.099999999999994,15.8,23.5,14.4,0,1.0,0.0,0,2.0,1,1,0,0,1,1,0,0,2536,19
11013,E05010655,Bourne Vale,Lichfield,62.5,96.8,3006,42.0,58.0,45.2,88.3,11.7,56.2,33.3,75.29999999999998,6.0,18.7,12.7,47.2,40.0,3.2,51.7,3.1,10.4,30.8,27.6,41.6,47.0,14.9,19.5,18.7,0,1.0,1.0,0,1.0,1,1,0,0,1,1,0,1,2554,19
11813,E05008988,Wolvey and Shilton,Rugby,68.6,90.2,2939,47.0,53.0,35.2,85.1,14.9,55.3,33.6,71.89999999999999,7.2,21.0,15.5,43.7,40.7,9.7,63.4,1.4,11.2,23.2,24.1,52.7,52.8,20.8,16.9,9.4,0,1.0,0.0,0,1.0,1,1,1,0,1,1,1,0,2724,19
12119,E05009850,Tardebigge,Bromsgrove,98.1,97.0,3549,43.2,56.8,42.9,92.6,7.4,62.2,28.7,79.89999999999999,4.5,15.6,13.6,44.7,41.49999999999999,3.0,53.5,3.6,9.1,20.9,22.1,57.099999999999994,56.50000000000001,14.5,16.2,12.9,0,1.0,0.0,0,1.0,1,1,1,0,1,1,0,0,2808,19
12465,E05007925,The Littletons,Wychavon,209.3,97.3,3420,43.2,56.8,45.8,93.9,6.1,52.0,35.0,79.3,13.7,6.9,13.2,39.1,47.7,2.5000000000000004,52.1,2.1999999999999997,12.9,28.8,24.1,47.2,45.900000000000006,17.2,25.6,11.2,0,1.0,0.0,0,2.0,1,1,0,0,1,1,0,0,2890,19
13430,E05010826,Wittering,Peterborough,110.3,95.5,3550,47.2,52.8,25.1,93.5,6.5,59.1,30.0,55.2,7.6,37.2,21.4,49.2,29.4,4.5,72.9,2.0,10.9,17.8,23.5,58.7,49.4,22.8,19.9,8.0,0,1.0,0.0,0,1.0,1,1,1,0,1,1,1,0,3117,19
14257,E05011262,Great Staughton,Huntingdonshire,95.3,94.7,4378,38.0,62.0,54.8,93.4,6.6,58.2,32.3,81.4,4.9,13.6,11.3,37.0,51.8,5.3,43.5,1.7,9.5,24.9,23.700000000000003,51.3,50.900000000000006,18.1,21.299999999999997,9.7,0,2.0,0.0,0,1.0,1,1,1,0,1,1,0,0,3290,19
