index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
1664,E05011037,Lymm South,Warrington,655.3,96.8,6382,52.8,47.2,41.0,94.6,5.4,61.2,29.8,77.3,9.8,12.8,19.5,34.2,46.2,3.0999999999999996,56.9,2.0,9.1,17.0,18.7,64.3,61.2,14.2,13.4,11.3,0,1.0,2.0,0,2.0,0,0,1,0,1,1,1,1,373,20
1878,E05008610,Alderley Edge,Cheshire East,1157.4,94.1,4777,53.0,47.0,46.3,91.9,8.100000000000001,63.4,27.1,71.8,7.8,20.3,14.9,33.7,51.3,5.8999999999999995,51.7,2.0,9.5,17.3,18.8,64.0,64.60000000000001,12.7,11.1,11.6,0,1.0,1.0,0,1.0,0,0,1,0,1,1,1,1,420,20
2054,E05008657,Wilmslow Lacey Green,Cheshire East,702.9,94.1,4980,53.9,46.1,39.7,89.6,10.4,54.8,31.2,66.1,19.5,14.3,18.8,42.5,38.7,5.8999999999999995,57.2,3.1999999999999997,14.1,21.799999999999997,20.0,58.2,54.3,14.6,17.2,14.0,0,1.0,0.0,0,2.0,0,0,1,0,1,1,1,0,467,20
7163,E05008521,Duffield,Amber Valley,633.3,96.3,5066,52.7,47.3,43.8,93.9,6.1,60.8,30.0,81.19999999999999,6.5,12.2,19.299999999999997,33.5,47.2,3.6,53.9,2.4,9.1,15.4,19.1,65.60000000000001,61.6,13.8,12.3,12.2,0,1.0,1.0,0,2.0,0,0,1,0,1,1,1,1,1709,20
9949,E05009729,Sutton Bonington,Rushcliffe,259.4,92.4,2338,58.1,41.9,59.7,88.6,11.4,61.9,28.1,76.89999999999999,6.3,16.8,10.4,57.7,31.9,7.6,38.2,2.0,10.000000000000002,10.0,12.7,77.2,36.8,10.1,8.6,44.6,0,0.0,0.0,0,1.0,1,1,1,1,1,0,1,0,2327,20
11932,E05010208,Tiddington,Stratford-on-Avon,321.0,96.5,3540,53.2,46.8,44.4,95.3,4.7,58.4,31.3,81.7,8.6,9.7,15.4,30.7,53.900000000000006,3.5,53.6,1.9,10.3,19.1,17.8,63.099999999999994,63.5,15.4,12.5,8.6,0,0.0,0.0,0,1.0,1,0,1,0,1,0,1,0,2758,20
15568,E05004712,Tring East,Dacorum,272.0,95.1,3417,52.6,47.4,39.5,94.6,5.5,64.5,29.0,80.5,4.3,15.3,19.6,36.599999999999994,43.8,4.8999999999999995,58.6,1.9,6.5,15.6,20.7,63.5,61.099999999999994,14.5,12.7,11.7,0,0.0,0.0,0,1.0,1,1,1,0,1,0,1,0,3606,20
16338,E05012347,Springwood,King's Lynn and West Norfolk,1433.7,84.7,2871,54.3,45.7,36.6,80.7,19.4,54.1,32.5,76.3,5.5,18.2,16.2,42.3,41.50000000000001,15.3,61.1,2.3,13.4,26.1,23.700000000000003,50.2,46.5,18.200000000000003,24.5,10.8,0,1.0,2.0,0,2.0,1,0,1,0,1,1,0,1,3772,20
17812,E05013641,Garden Suburb,Barnet,2857.4,76.2,12207,53.8,46.2,38.1,70.2,29.700000000000003,64.2,27.4,69.6,5.5,24.9,20.6,39.6,39.7,23.799999999999997,59.3,2.5,8.399999999999999,12.5,12.1,75.5,68.80000000000001,9.5,7.4,14.4,0,1.0,2.0,0,2.0,0,0,1,0,1,1,1,1,4102,20
20599,E05002271,Ascot,Bracknell Forest,349.2,90.2,5917,53.7,46.3,35.2,86.1,13.9,61.4,28.9,77.2,5.6,17.2,20.6,39.3,40.1,9.9,62.0,2.8,9.8,19.299999999999997,20.5,60.2,58.2,17.9,13.4,10.6,0,0.0,1.0,0,1.0,0,0,1,0,1,0,1,1,4771,20
