index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
442,E05009035,Barnard Castle West,County Durham,16.8,97.9,8296,49.5,50.5,47.5,97.3,2.7,52.4,35.2,71.5,8.9,19.7,13.4,32.3,54.3,2.0,50.2,2.1999999999999997,12.4,26.1,23.1,50.7,50.5,16.9,20.1,12.4,0,2.0,1.0,1,4.0,0,1,1,0,1,1,0,1,107,12
582,E05009064,Framwellgate and Newton Hall,County Durham,988.3,93.5,13917,49.3,50.7,48.0,91.4,8.600000000000001,54.4,32.0,73.69999999999999,11.9,14.4,15.099999999999998,39.3,45.50000000000001,6.5,49.9,2.0,13.6,23.1,21.6,55.2,45.2,18.8,21.6,14.4,0,3.0,3.0,1,5.0,0,0,1,0,1,1,0,1,136,12
609,E05009070,Neville's Cross,County Durham,2089.0,87.1,13625,50.7,49.3,63.3,83.4,16.6,64.6,29.3,71.5,2.2,26.3,11.0,68.1,20.9,12.8,33.199999999999996,3.5999999999999996,6.0,5.1,7.8,87.1,32.5,5.0,3.9,58.5,0,5.0,0.0,1,2.0,0,0,1,1,1,1,1,0,142,12
920,E05009145,Ponteland West,Northumberland,37.6,95.0,4309,48.4,51.6,39.2,92.0,7.800000000000001,60.8,31.0,76.89999999999999,4.6,18.6,18.5,38.099999999999994,43.4,5.1000000000000005,59.2,1.6,8.2,16.200000000000003,19.5,64.4,63.7,16.5,10.1,9.7,0,1.0,1.0,0,1.0,1,1,1,0,1,1,1,1,214,12
1029,E05011443,Dene & South Gosforth,Newcastle upon Tyne,3555.4,89.3,9652,50.1,49.9,37.0,83.4,16.6,64.0,27.2,75.0,5.5,19.5,17.1,47.0,36.0,10.6,60.4,2.6,8.799999999999999,13.3,13.9,72.8,58.8,14.3,10.0,16.8,1,3.0,3.0,1,1.0,0,0,1,0,1,1,1,1,238,12
1419,E05001069,Bridges,Gateshead,3018.0,86.4,8957,45.9,54.1,36.7,80.6,19.4,50.8,29.4,36.0,24.4,39.6,14.6,61.10000000000001,24.4,13.6,57.4,6.1,19.8,25.3,16.0,58.7,36.4,13.4,20.4,29.799999999999997,0,6.0,5.0,0,1.0,0,0,1,1,1,1,1,1,322,12
1634,E05011031,Grappenhall,Warrington,601.0,96.7,6935,48.3,51.7,39.5,94.8,5.1,66.6,26.8,90.3,2.9,6.8,17.7,38.0,44.3,3.1999999999999997,58.0,2.6,6.6,16.7,21.200000000000003,62.0,59.5,15.9,13.4,11.2,0,1.0,2.0,0,3.0,0,0,1,0,1,1,1,1,367,12
2097,E05012218,Handbridge Park,Cheshire West and Chester,1043.4,94.2,9428,51.6,48.4,45.7,91.7,8.3,59.4,30.6,74.10000000000001,6.7,19.2,14.6,36.3,49.1,5.8999999999999995,51.5,2.8,9.9,18.1,18.1,63.8,58.400000000000006,14.5,15.0,12.3,0,1.0,3.0,1,2.0,0,0,1,0,1,1,1,1,481,12
2915,E05009594,Bulk,Lancaster,2697.1,90.9,9505,46.4,53.6,46.5,85.8,14.2,48.4,31.5,54.9,20.7,24.3,16.2,56.7,27.0,9.1,50.0,3.5,20.1,23.2,17.0,59.7,34.4,11.8,22.9,30.9,0,2.0,0.0,1,2.0,0,0,1,1,0,1,0,0,664,12
2922,E05009596,Castle (Lancaster),,5773.7,84.3,5455,49.2,50.8,53.6,76.4,23.5,49.3,35.2,42.2,12.3,45.5,9.2,66.1,24.7,15.6,42.3,4.1,15.5,12.9,11.3,75.9,30.4,9.4,11.7,48.4,0,0.0,0.0,0,0.0,0,0,1,1,0,0,1,0,666,12
2951,E05009603,John O'Gaunt,Lancaster,3625.4,90.9,7125,51.3,48.7,42.8,85.5,14.6,53.6,31.9,62.5,4.7,32.8,14.5,57.5,28.1,9.1,53.8,3.5,14.5,15.9,12.9,71.2,37.9,12.3,16.799999999999997,33.1,0,0.0,0.0,1,3.0,0,0,1,1,1,0,1,0,673,12
2963,E05009606,Marsh,Lancaster,1998.4,93.8,6161,50.1,49.9,37.1,90.8,9.1,52.8,32.5,64.4,15.7,19.9,17.7,49.9,32.5,6.2,59.8,3.2,14.7,19.3,16.4,64.2,43.4,15.0,22.3,19.3,0,1.0,0.0,1,1.0,0,0,1,0,1,1,0,0,676,12
2982,E05009610,Scotforth West,Lancaster,1225.1,91.3,7172,52.5,47.5,43.7,84.9,15.0,54.6,33.1,64.8,7.0,28.2,16.6,49.9,33.4,8.7,53.9,2.3,12.3,15.5,16.7,67.9,44.99999999999999,12.7,15.5,26.9,0,2.0,3.0,1,2.0,0,0,1,0,1,1,1,1,680,12
3124,E05012203,Plungington,Preston,5687.6,81.1,11456,49.0,51.0,43.9,67.7,32.3,42.1,35.8,35.8,20.4,43.8,15.1,64.89999999999999,20.0,19.0,48.6,7.6,22.1,23.9,19.0,57.099999999999994,20.1,12.9,23.1,43.900000000000006,0,2.0,2.0,1,3.0,0,0,1,1,0,1,0,1,711,12
5312,E05010316,Fishergate,York,4116.2,82.6,9555,51.8,48.2,47.7,79.9,20.1,53.7,32.5,49.400000000000006,10.7,39.8,9.8,64.2,26.0,17.5,48.5,3.8,13.9,13.6,13.0,73.30000000000001,35.6,11.0,13.4,40.0,0,2.0,1.0,1,3.0,0,0,1,1,1,1,1,1,1235,12
5318,E05010317,Fulford & Heslington,York,247.7,91.3,4175,51.4,48.6,43.3,86.7,13.3,56.1,33.1,67.49999999999999,9.4,23.1,18.0,44.400000000000006,37.5,8.799999999999999,54.8,2.0,10.8,18.2,17.3,64.69999999999999,48.099999999999994,14.4,16.799999999999997,20.7,0,0.0,1.0,1,2.0,1,1,1,0,1,0,1,1,1236,12
5490,E05014286,"Killinghall, Hampsthwaite & Saltergate",Harrogate,591.1,95.1,9898,46.5,53.5,40.5,94.1,5.9,59.4,30.4,73.69999999999999,10.0,16.3,18.4,48.4,33.2,4.9,57.9,1.7,10.1,26.0,24.4,49.5,46.8,16.1,16.6,20.5,0,1.0,0.0,0,2.0,0,0,0,0,1,1,1,0,1281,12
6056,E05010860,Broomhill and Sharrow Vale,Sheffield,7088.5,87.5,21863,49.5,50.5,48.6,77.9,22.0,50.0,34.7,35.5,15.4,49.1,9.4,71.3,19.1,12.6,45.7,5.6,15.2,9.2,7.8,83.0,31.8,7.7,9.1,51.4,0,3.0,4.0,2,4.0,0,0,1,1,0,1,1,1,1411,12
6065,E05010863,Crookes and Crosspool,Sheffield,4414.2,92.7,17195,50.2,49.8,40.3,86.8,13.2,59.3,30.8,66.8,5.8,27.5,14.7,53.6,31.799999999999997,7.3,56.6,3.0,10.0,11.7,12.4,75.9,51.4,12.9,10.8,25.0,0,6.0,3.0,1,2.0,0,0,1,1,1,1,1,1,1414,12
6082,E05010869,Fulwood,Sheffield,697.6,91.1,17827,51.1,48.9,51.1,84.9,15.0,62.0,29.6,80.5,5.8,13.6,14.6,47.5,38.0,8.899999999999999,45.2,3.7,8.4,9.6,11.7,78.8,52.99999999999999,9.3,7.6,30.1,0,1.0,2.0,1,5.0,0,0,1,0,1,1,1,1,1420,12
6101,E05010875,Nether Edge and Sharrow,Sheffield,7288.5,81.6,21863,48.8,51.2,40.2,61.2,38.8,51.3,32.3,48.3,13.9,37.9,15.9,59.5,24.5,18.4,54.8,5.0,16.3,20.1,11.5,68.2,43.099999999999994,11.0,14.1,31.8,0,6.0,7.0,1,3.0,0,0,1,1,1,1,1,1,1426,12
6124,E05010882,Walkley,Sheffield,7420.6,81.2,21863,49.0,51.0,44.0,69.9,30.1,45.5,33.7,44.3,25.7,30.0,14.4,58.5,27.1,18.9,51.0,4.9,20.7,22.9,14.3,62.900000000000006,36.7,12.6,18.3,32.4,0,4.0,2.0,1,5.0,0,0,1,1,0,1,0,1,1433,12
