index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
3472,E05005374,Skelmersdale North,West Lancashire,1289.1,98.3,3918,51.9,48.1,43.2,97.2,2.8000000000000003,37.4,36.2,58.7,25.2,16.1,18.9,40.7,40.4,1.7000000000000002,54.0,2.9,26.4,39.400000000000006,23.9,36.7,26.299999999999997,16.6,38.6,18.3,0,0.0,1.0,0,3.0,1,0,0,0,0,0,0,1,797,15
3479,E05005375,Skelmersdale South,West Lancashire,1857.8,98.2,6413,50.6,49.4,39.3,96.9,3.0,41.5,34.7,57.89999999999999,23.1,19.0,17.0,42.400000000000006,40.5,1.8,57.1,3.7,23.8,36.0,24.4,39.4,29.0,18.3,36.2,16.6,0,2.0,1.0,0,2.0,0,0,0,0,0,1,0,1,798,15
3489,E05005377,Tarleton,West Lancashire,266.0,98.7,5959,50.5,49.5,41.7,98.5,1.5,51.7,34.4,84.10000000000001,4.7,11.3,14.6,32.6,52.900000000000006,1.2000000000000002,56.4,2.0,13.9,26.8,22.999999999999996,50.2,52.400000000000006,16.799999999999997,20.200000000000003,10.6,0,1.0,1.0,0,3.0,0,1,1,0,1,1,0,1,800,15
3494,E05005378,Up Holland,West Lancashire,649.1,98.6,6344,51.1,48.9,40.2,98.0,2.0,50.1,33.2,75.6,13.8,10.6,16.7,37.2,46.1,1.5,57.3,2.6,16.700000000000003,27.9,22.700000000000003,49.400000000000006,45.0,18.2,24.1,12.8,0,1.0,0.0,0,2.0,0,0,0,0,1,1,0,0,801,15
3525,E05009936,Carleton,Wyre,2183.0,98.4,4431,52.1,47.9,44.0,97.6,2.5,53.6,34.2,86.4,2.4,11.2,14.8,32.3,53.0,1.7,53.5,2.5,12.2,22.700000000000003,24.1,53.1,51.3,20.5,17.5,10.7,0,0.0,1.0,0,2.0,1,0,1,0,1,0,0,1,809,15
3528,E05009937,Cleveleys Park,Wyre,2935.8,98.4,4525,53.2,46.8,54.1,98.1,1.9,37.6,39.0,77.0,7.1,15.9,12.0,28.3,59.7,1.5,42.6,3.3,23.4,37.3,25.1,37.599999999999994,36.2,20.4,28.799999999999997,14.6,0,0.0,0.0,0,1.0,1,0,0,0,0,0,0,0,810,15
3532,E05009938,Garstang,Wyre,412.4,98.1,6616,52.3,47.7,53.3,97.9,2.1,47.4,36.9,80.4,6.4,13.2,12.7,26.6,60.6,1.9,45.5,1.2000000000000002,15.7,30.2,23.0,46.9,48.1,17.5,23.3,11.1,0,1.0,2.0,0,3.0,0,0,0,0,0,1,0,1,811,15
3539,E05009940,Hambleton & Stalmine,Wyre,292.2,98.6,4641,51.2,48.8,48.6,98.4,1.6,49.5,34.7,84.29999999999998,4.0,11.8,14.6,30.299999999999997,54.900000000000006,1.4,49.8,1.6,15.9,28.4,24.6,47.1,50.3,17.8,20.299999999999997,11.6,0,0.0,1.0,0,2.0,1,1,0,0,0,0,0,1,813,15
3543,E05009941,Hardhorn with High Cross,Wyre,1326.4,97.6,6049,51.0,49.0,45.1,96.4,3.7,55.2,32.3,84.3,4.4,11.3,13.9,31.7,54.400000000000006,2.3000000000000003,52.8,2.1,12.6,23.6,23.2,53.3,52.3,20.0,17.1,10.7,0,0.0,1.0,0,1.0,0,0,1,0,1,0,0,1,814,15
3549,E05009942,Jubilee (Wyre),,4198.6,97.6,4584,50.6,49.4,53.9,96.8,3.2,35.6,38.0,62.400000000000006,2.8,34.7,13.2,32.6,54.1,2.4,42.3,3.9,26.4,36.5,24.5,39.0,36.8,18.3,28.2,16.7,0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,815,15
