index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
3425,E05005363,Derby (West Lancashire),,1182.3,97.2,9510,59.1,40.9,55.4,94.5,5.6,54.0,32.2,67.9,11.4,20.7,8.8,64.9,26.4,2.9,37.8,6.7,13.9,11.3,13.5,75.2,25.9,9.0,9.6,55.5,0,0.0,0.0,0,0.0,0,0,1,1,1,0,1,0,786,6
4637,E05000898,Greenbank,Liverpool,7210.7,92.1,15268,53.1,46.9,52.1,81.3,18.7,48.8,30.6,37.2,19.5,43.2,9.0,68.8,22.200000000000003,7.9,42.4,5.4,20.6,14.5,9.1,76.3,29.0,9.2,11.8,50.1,1,5.0,3.0,1,3.0,0,0,1,1,0,1,1,1,1071,6
5048,E05011544,University (Kingston upon Hull),,4946.6,89.3,11800,51.6,48.4,51.1,82.7,17.2,41.0,34.9,39.6,30.9,29.5,17.0,61.8,21.3,10.8,42.400000000000006,6.5,24.1,25.1,17.5,57.4,18.5,11.0,23.8,46.7,0,0.0,0.0,0,0.0,0,0,1,1,0,0,0,0,1170,6
5310,E05010316,Fishergate,York,4116.2,82.6,9555,51.8,48.2,47.7,79.9,20.1,53.7,32.5,49.400000000000006,10.7,39.8,9.8,64.2,26.0,17.5,48.5,3.8,13.9,13.6,13.0,73.30000000000001,35.6,11.0,13.4,40.0,0,2.0,1.0,1,3.0,0,0,1,1,1,1,1,1,1235,6
5321,E05010318,Guildhall (York),,5049.1,87.7,14553,53.1,46.9,42.7,85.6,14.4,52.0,33.7,33.400000000000006,18.4,48.2,7.5,69.4,23.1,12.3,51.4,5.9,14.4,12.7,11.8,75.5,33.4,10.0,15.8,40.9,0,0.0,0.0,0,0.0,0,0,1,1,1,0,0,0,1237,6
5342,E05010323,Hull Road,York,3971.6,89.4,14859,53.2,46.8,61.7,84.2,15.8,45.0,37.0,48.1,19.7,32.2,8.899999999999999,73.9,17.1,10.5,32.6,5.8,18.0,11.8,10.3,77.9,17.0,6.5,11.4,65.0,0,1.0,3.0,2,2.0,0,0,1,1,0,1,1,1,1242,6
8698,E05010786,Boultham,Lincoln,1818.2,92.6,11258,52.0,48.0,53.1,87.4,12.5,49.0,33.6,53.9,15.7,30.4,9.3,69.39999999999999,21.4,7.3,40.2,6.6,17.400000000000002,16.0,15.1,68.9,20.9,10.8,16.5,51.8,0,1.0,2.0,2,1.0,0,0,1,1,0,1,0,1,2059,6
8702,E05010787,Carholme,Lincoln,2334.5,94.2,11227,50.5,49.5,48.3,90.7,9.2,52.3,33.0,44.00000000000001,10.5,45.4,9.5,69.19999999999999,21.299999999999997,5.800000000000001,45.900000000000006,5.8,14.6,12.1,11.7,76.2,29.4,10.0,12.8,47.7,0,3.0,2.0,1,2.0,0,0,1,1,1,1,0,1,2060,6
9435,E05010517,Beeston North,Broxtowe,5559.4,85.89999999999999,6365,51.5,48.5,48.1,72.9,27.1,48.1,33.5,54.0,17.6,28.3,15.1,55.2,29.7,13.9,47.9,4.0,18.4,22.4,14.4,63.2,36.5,12.2,18.6,32.7,0,1.0,1.0,0,1.0,0,0,1,1,0,1,0,1,2213,6
9947,E05009729,Sutton Bonington,Rushcliffe,259.4,92.4,2338,58.1,41.9,59.7,88.6,11.4,61.9,28.1,76.89999999999999,6.3,16.8,10.4,57.7,31.9,7.6,38.2,2.0,10.000000000000002,10.0,12.7,77.2,36.8,10.1,8.6,44.6,0,0.0,0.0,0,1.0,1,1,1,1,1,0,1,0,2327,6
