index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
563,E05009060,Elvet and Gilesgate,County Durham,2833.7,85.19999999999999,9548,50.2,49.8,77.1,80.3,19.6,48.2,36.9,29.3,16.1,54.7,2.8,83.0,14.2,14.8,19.2,3.5999999999999996,14.9,7.0,7.1,85.9,14.8,3.7,5.699999999999999,75.9,0,3.0,2.0,2,1.0,0,0,1,1,0,1,1,1,132,3
608,E05009070,Neville's Cross,County Durham,2089.0,87.1,13625,50.7,49.3,63.3,83.4,16.6,64.6,29.3,71.5,2.2,26.3,11.0,68.1,20.9,12.8,33.199999999999996,3.5999999999999996,6.0,5.1,7.8,87.1,32.5,5.0,3.9,58.5,0,5.0,0.0,1,2.0,0,0,1,1,1,1,1,0,142,3
1071,E05011453,Monument,Newcastle upon Tyne,4692.2,72.1,13619,46.8,53.2,53.2,65.0,35.0,52.4,32.4,18.0,30.1,52.0,4.3,84.30000000000001,11.500000000000002,27.9,38.7,8.1,15.2,11.6,9.4,78.9,22.8,5.8,8.3,63.0,1,12.0,3.0,2,2.0,0,0,1,1,1,1,1,1,248,3
1074,E05011454,North Jesmond,Newcastle upon Tyne,7932.5,93.9,10578,51.1,48.9,58.8,89.4,10.7,59.6,30.6,37.5,5.5,57.0,4.9,78.3,16.8,6.2,35.9,5.4,9.8,4.1,4.8,91.2,27.4,4.7,4.1,63.8,1,1.0,2.0,1,0.0,0,0,1,1,1,1,1,1,249,3
1076,E05011455,Ouseburn (Newcastle upon Tyne),,11768.4,86.3,12644,50.3,49.7,51.6,79.8,20.1,48.4,31.1,25.3,37.4,37.3,5.4,81.8,12.7,13.8,38.7,9.7,20.4,10.2,8.2,81.5,18.8,6.2,9.8,65.3,0,0.0,0.0,0,0.0,0,0,1,1,0,0,1,0,250,3
1082,E05011457,South Jesmond,Newcastle upon Tyne,6542.8,92.2,9786,50.4,49.6,49.0,88.5,11.5,57.9,30.6,32.6,12.9,54.5,4.8,76.10000000000001,19.3,7.7,45.5,5.5,11.5,7.3,6.3,86.4,32.7,6.699999999999999,6.8,53.7,1,1.0,0.0,1,2.0,0,0,1,1,1,1,1,0,252,3
2919,E05009596,Castle (Lancaster),,5773.7,84.3,5455,49.2,50.8,53.6,76.4,23.5,49.3,35.2,42.2,12.3,45.5,9.2,66.1,24.7,15.6,42.3,4.1,15.5,12.9,11.3,75.9,30.4,9.4,11.7,48.4,0,0.0,0.0,0,0.0,0,0,1,1,0,0,1,0,666,3
3002,E05009615,University & Scotforth Rural,Lancaster,669.4,84.3,5108,51.0,49.0,78.4,75.9,24.200000000000003,65.7,26.8,83.3,2.5,14.2,2.3,91.9,5.800000000000001,15.7,15.3,6.4,7.5,3.5,7.2,89.3,6.300000000000001,1.2,1.4,91.0,0,0.0,1.0,2,0.0,0,0,1,1,1,0,1,1,685,3
3809,E05011364,Fallowfield,Manchester,7262.9,80.6,14869,51.8,48.2,54.3,56.5,43.6,37.7,34.5,29.9,31.5,38.6,14.6,69.5,15.9,19.5,37.7,8.0,27.7,19.1,10.5,70.5,18.8,7.8,14.2,59.2,1,0.0,3.0,1,2.0,0,0,1,1,0,0,1,1,880,3
4611,E05000889,Central (Liverpool),,7688.7,79.3,21863,50.9,49.1,56.1,71.6,28.299999999999997,53.1,32.2,17.9,15.2,66.9,3.5999999999999996,88.6,7.8,20.6,34.9,9.0,14.7,10.8,8.4,80.9,17.8,6.0,8.2,68.10000000000001,0,0.0,0.0,0,0.0,0,0,1,1,1,0,1,0,1062,3
4636,E05000898,Greenbank,Liverpool,7210.7,92.1,15268,53.1,46.9,52.1,81.3,18.7,48.8,30.6,37.2,19.5,43.2,9.0,68.8,22.200000000000003,7.9,42.4,5.4,20.6,14.5,9.1,76.3,29.0,9.2,11.8,50.1,1,5.0,3.0,1,3.0,0,0,1,1,0,1,1,1,1071,3
5341,E05010323,Hull Road,York,3971.6,89.4,14859,53.2,46.8,61.7,84.2,15.8,45.0,37.0,48.1,19.7,32.2,8.899999999999999,73.9,17.1,10.5,32.6,5.8,18.0,11.8,10.3,77.9,17.0,6.5,11.4,65.0,0,1.0,3.0,2,2.0,0,0,1,1,0,1,1,1,1242,3
6053,E05010860,Broomhill and Sharrow Vale,Sheffield,7088.5,87.5,21863,49.5,50.5,48.6,77.9,22.0,50.0,34.7,35.5,15.4,49.1,9.4,71.3,19.1,12.6,45.7,5.6,15.2,9.2,7.8,83.0,31.8,7.7,9.1,51.4,0,3.0,4.0,2,4.0,0,0,1,1,0,1,1,1,1411,3
6406,E05011397,Headingley & Hyde Park,Leeds,10657.0,88.7,21863,52.6,47.4,53.6,77.6,22.5,46.4,36.9,17.400000000000002,15.2,67.4,5.4,85.80000000000001,8.9,11.3,38.400000000000006,8.0,16.7,7.3,6.6,86.0,17.8,6.3,7.9,67.9,1,12.0,5.0,1,4.0,0,0,1,1,0,1,1,1,1516,3
6641,E05010463,Castle (Leicester),,6295.3,76.8,21863,50.4,49.6,49.9,56.7,43.2,49.1,33.8,22.1,16.1,61.8,6.3,81.0,12.6,23.2,41.3,8.8,17.099999999999998,12.3,11.2,76.5,22.8,7.0,12.4,57.8,0,0.0,0.0,0,0.0,0,0,1,1,0,0,1,0,1582,3
6781,E05012281,Hyson Green & Arboretum,Nottingham,9134.2,76.89999999999999,21863,49.7,50.3,57.3,53.0,47.0,36.8,35.7,24.9,24.9,50.1,14.6,71.5,14.0,23.2,35.2,7.5,27.5,22.5,13.0,64.5,15.8,6.4,17.6,60.2,0,6.0,7.0,2,4.0,0,0,1,1,0,1,1,1,1624,3
