index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
1027,E05011443,Dene & South Gosforth,Newcastle upon Tyne,3555.4,89.3,9652,50.1,49.9,37.0,83.4,16.6,64.0,27.2,75.0,5.5,19.5,17.1,47.0,36.0,10.6,60.4,2.6,8.799999999999999,13.3,13.9,72.8,58.8,14.3,10.0,16.8,1,3.0,3.0,1,1.0,0,0,1,0,1,1,1,1,238,7
1048,E05011448,Heaton (Newcastle upon Tyne),,6267.2,90.0,10594,49.0,51.0,30.9,84.4,15.7,55.8,30.4,45.8,11.1,43.1,9.7,67.5,22.8,10.1,64.5,4.6,13.8,12.4,11.4,76.2,46.1,14.9,14.2,24.9,0,0.0,0.0,0,0.0,0,0,1,1,1,0,0,0,243,7
1417,E05001069,Bridges,Gateshead,3018.0,86.4,8957,45.9,54.1,36.7,80.6,19.4,50.8,29.4,36.0,24.4,39.6,14.6,61.10000000000001,24.4,13.6,57.4,6.1,19.8,25.3,16.0,58.7,36.4,13.4,20.4,29.799999999999997,0,6.0,5.0,0,1.0,0,0,1,1,1,1,1,1,322,7
1969,E05008634,Macclesfield Central,Cheshire East,4829.9,94.1,9173,49.8,50.2,29.5,91.0,9.0,54.9,30.4,54.6,9.3,36.2,14.4,49.8,35.900000000000006,5.8999999999999995,66.8,3.8,14.7,21.6,19.6,58.7,49.1,18.2,22.4,10.4,0,12.0,3.0,0,1.0,0,0,1,0,1,1,0,1,444,7
2073,E05012211,Chester City & the Garden Quarter,Cheshire West and Chester,4878.8,89.9,18338,50.4,49.6,39.9,87.5,12.5,54.2,30.4,40.0,17.4,42.6,7.000000000000001,64.5,28.6,10.1,54.9,5.2,15.4,15.5,14.4,70.0,38.2,12.5,17.799999999999997,31.4,0,12.0,5.0,2,2.0,0,0,1,1,1,1,0,1,474,7
3756,E05011350,Ancoats & Beswick,Manchester,5042.9,80.1,14823,46.8,53.2,22.5,67.5,32.4,59.3,26.3,26.4,22.4,51.2,12.2,72.9,15.0,19.8,73.4,4.1,14.4,17.3,10.6,72.0,54.00000000000001,13.1,15.8,17.0,1,12.0,2.0,1,5.0,0,0,1,1,1,1,1,1,866,7
3781,E05011357,Chorlton,Manchester,5145.0,90.7,12843,50.7,49.3,27.1,80.0,20.0,59.8,28.7,62.6,8.1,29.3,16.1,52.3,31.5,9.1,70.0,2.9,11.599999999999998,13.2,10.9,75.9,64.0,12.1,11.7,12.3,1,1.0,3.0,1,4.0,0,0,1,1,1,1,1,1,873,7
3788,E05011358,Chorlton Park,Manchester,3505.7,84.1,17592,52.2,47.8,34.9,63.1,36.9,50.5,30.0,54.3,24.2,21.5,19.5,50.9,29.4,15.9,61.3,3.9,19.6,21.4,14.3,64.3,50.9,13.1,16.8,19.200000000000003,1,2.0,3.0,1,3.0,0,0,1,1,1,1,1,1,874,7
3802,E05011362,Didsbury East,Manchester,4026.7,87.1,14709,50.6,49.4,31.6,74.0,26.1,60.5,28.6,68.3,6.5,25.1,18.1,49.1,32.900000000000006,12.9,65.5,3.0,10.8,14.6,12.3,73.2,63.3,12.4,10.8,13.6,1,3.0,1.0,1,4.0,0,0,1,0,1,1,1,1,878,7
3807,E05011363,Didsbury West,Manchester,4503.6,88.4,15083,49.7,50.3,25.3,80.7,19.4,65.7,24.9,48.5,7.9,43.7,12.3,62.0,25.8,11.499999999999998,72.19999999999999,2.5,9.3,10.0,8.5,81.4,68.0,11.2,8.8,12.0,1,12.0,4.0,1,1.0,0,0,1,1,1,1,1,1,879,7
3825,E05011368,Hulme,Manchester,7273.9,76.6,19486,49.1,50.9,39.4,57.7,42.3,52.1,30.3,19.1,35.7,45.2,11.4,76.0,12.6,23.4,51.7,9.0,17.6,13.9,10.5,75.7,32.4,9.7,14.2,43.7,1,2.0,5.0,2,5.0,0,0,1,1,1,1,1,1,884,7
3854,E05011375,Old Moat,Manchester,8554.6,84.0,15364,51.8,48.2,43.3,65.4,34.6,42.9,33.9,34.50000000000001,28.3,37.2,14.6,65.2,20.2,15.999999999999998,50.4,6.3,23.1,19.2,11.8,69.0,33.300000000000004,10.8,15.8,40.1,1,6.0,3.0,1,2.0,0,0,1,1,0,1,1,1,891,7
3860,E05011376,Piccadilly,Manchester,6028.3,75.89999999999999,11664,42.9,57.1,27.5,69.6,30.299999999999997,63.3,27.7,20.2,9.3,70.4,2.4,89.3,8.2,24.1,66.3,6.2,9.0,7.5,8.4,83.9,50.3,10.3,9.2,30.1,1,4.0,2.0,1,0.0,0,0,1,1,1,1,1,1,892,7
3870,E05011379,Whalley Range,Manchester,7320.3,72.89999999999999,16557,49.3,50.7,36.3,41.5,58.4,46.0,32.6,38.1,21.9,40.1,20.299999999999997,55.7,24.0,27.1,58.3,5.4,21.4,24.200000000000003,14.4,61.400000000000006,43.2,13.2,17.3,26.4,1,5.0,4.0,1,4.0,0,0,1,1,0,1,1,1,895,7
4081,E05013019,Blackfriars & Trinity,Salford,10529.6,80.69999999999999,10656,45.9,54.1,21.0,71.4,28.700000000000003,58.3,28.8,18.200000000000003,18.5,63.3,6.9,83.2,9.999999999999998,19.3,72.3,6.699999999999999,12.8,12.4,11.4,76.2,49.9,13.9,14.3,21.7,0,3.0,1.0,1,2.0,0,0,1,1,1,1,1,1,939,7
4101,E05013024,Eccles,Salford,4762.9,90.4,14523,48.7,51.3,38.2,82.2,17.8,47.8,31.3,51.7,24.7,23.6,15.8,47.8,36.4,9.5,58.4,3.4,21.0,27.5,18.5,54.0,45.2,16.1,21.0,17.7,0,7.0,5.0,1,3.0,0,0,1,0,0,1,0,1,944,7
4114,E05013028,Ordsall,Salford,4999.5,81.8,10094,47.5,52.5,29.3,70.5,29.4,50.5,28.8,19.9,35.9,44.1,14.2,67.2,18.6,18.2,65.2,5.5,20.7,25.200000000000003,13.6,61.2,40.5,14.7,21.9,22.8,0,3.0,2.0,2,3.0,0,0,1,1,1,1,1,1,948,7
4127,E05013031,Quays,Salford,4930.6,77.89999999999999,9307,43.9,56.1,15.3,70.2,29.799999999999997,64.1,28.4,15.6,6.0,78.4,5.199999999999999,87.1,7.8,22.1,78.7,6.1,7.5,6.800000000000001,7.8,85.5,58.5,13.7,10.3,17.4,0,0.0,0.0,1,0.0,0,0,1,1,1,0,1,0,951,7
4147,E05013036,Weaste & Seedley,Salford,4535.3,85.69999999999999,16357,49.7,50.3,35.0,76.2,23.799999999999997,41.7,33.7,36.49999999999999,28.2,35.3,18.5,56.5,25.1,14.3,59.0,6.1,24.6,30.3,19.7,50.0,31.9,16.7,27.9,23.4,0,12.0,3.0,1,3.0,0,0,0,1,0,1,0,1,956,7
4354,E05000819,Altrincham,Trafford,4263.7,88.0,12931,51.0,49.0,31.7,79.6,20.4,61.7,27.8,66.4,9.4,24.2,21.5,47.1,31.500000000000004,12.1,65.5,2.6999999999999997,10.5,16.6,15.7,67.8,61.5,13.6,13.3,11.6,0,6.0,4.0,0,4.0,0,0,1,0,1,1,1,1,998,7
