index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
999,E05011436,Arthur's Hill,Newcastle upon Tyne,10312.3,71.1,13278,48.0,52.0,61.2,53.4,46.599999999999994,36.0,35.9,16.299999999999997,49.2,34.5,14.7,72.10000000000001,13.1,28.9,30.6,8.3,28.1,23.5,10.7,65.9,14.5,7.4,13.8,64.39999999999999,1,1.0,1.0,1,2.0,0,0,1,1,0,1,1,1,231,8
1012,E05011439,Byker,Newcastle upon Tyne,4862.0,88.2,12032,48.4,51.6,45.9,78.4,21.700000000000003,34.3,34.0,22.7,54.5,22.8,18.6,50.1,31.4,11.8,47.599999999999994,6.5,31.8,37.6,21.0,41.5,24.8,13.6,33.3,28.4,1,4.0,3.0,1,2.0,0,0,0,1,0,1,0,1,234,8
1037,E05011445,Elswick,Newcastle upon Tyne,5406.9,72.8,16126,48.2,51.8,53.4,43.5,56.6,26.0,37.4,19.3,50.7,30.0,28.9,50.1,21.1,27.200000000000003,39.5,7.1,36.6,49.5,18.0,32.5,19.1,11.3,29.2,40.3,1,5.0,3.0,1,5.0,0,0,0,1,0,1,0,1,240,8
1072,E05011453,Monument,Newcastle upon Tyne,4692.2,72.1,13619,46.8,53.2,53.2,65.0,35.0,52.4,32.4,18.0,30.1,52.0,4.3,84.30000000000001,11.500000000000002,27.9,38.7,8.1,15.2,11.6,9.4,78.9,22.8,5.8,8.3,63.0,1,12.0,3.0,2,2.0,0,0,1,1,1,1,1,1,248,8
1101,E05011461,Wingrove,Newcastle upon Tyne,2907.0,75.1,11670,49.6,50.4,43.5,47.3,52.8,43.4,34.4,50.6,20.8,28.5,23.4,50.2,26.500000000000004,24.9,51.2,5.3,22.2,31.4,16.3,52.2,37.4,12.7,19.5,30.3,1,4.0,3.0,1,2.0,0,0,1,1,0,1,1,1,256,8
1707,E05011511,Blackburn Central,Blackburn with Darwen,3085.4,78.1,9279,49.4,50.6,51.7,44.2,55.8,26.5,35.4,28.0,50.7,21.3,23.5,49.3,27.3,22.0,42.400000000000006,6.0,38.1,46.0,21.7,32.3,19.0,13.2,33.7,34.0,0,12.0,7.0,0,8.0,0,0,0,0,0,1,0,1,385,8
3086,E05012196,City Centre,Preston,4330.5,78.19999999999999,11941,48.1,51.9,42.5,62.9,37.099999999999994,42.3,34.7,29.2,22.2,48.6,10.7,67.8,21.4,21.700000000000003,50.1,7.4,23.0,21.5,16.5,62.0,23.5,11.7,21.700000000000003,43.0,0,4.0,7.0,2,1.0,0,0,1,1,0,1,0,1,704,8
3090,E05012197,Deepdale,Preston,6984.3,74.2,9667,49.0,51.0,42.6,35.2,64.7,36.0,36.0,54.7,16.7,28.7,24.4,51.3,24.4,25.7,52.7,4.7,27.9,40.8,20.9,38.4,23.0,15.3,30.4,31.200000000000003,0,5.0,3.0,1,3.0,0,0,0,1,0,1,1,1,705,8
3122,E05012203,Plungington,Preston,5687.6,81.1,11456,49.0,51.0,43.9,67.7,32.3,42.1,35.8,35.8,20.4,43.8,15.1,64.89999999999999,20.0,19.0,48.6,7.6,22.1,23.9,19.0,57.099999999999994,20.1,12.9,23.1,43.900000000000006,0,2.0,2.0,1,3.0,0,0,1,1,0,1,0,1,711,8
3627,E05000656,Great Lever,Bolton,4473.3,69.0,18097,50.1,49.9,48.1,33.9,66.2,30.4,36.5,41.3,29.2,29.4,27.1,49.1,23.9,30.9,46.6,5.3,33.2,43.5,20.0,36.5,23.3,12.3,30.1,34.3,0,6.0,5.0,2,6.0,0,0,0,0,0,1,0,1,835,8
