,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
pop_density_sqrkilometer,3037.3506542056075,1038.6914742451156,12883.17955801105,2316.9552727272726,5262.225625,4468.698969072165,1540.3006342494714,6012.616071428572,1319.3916149068323,7811.00989010989,335.19849246231155,3408.1200000000003,1388.6145721925134,2368.9227424749165,3364.9517857142855,8253.834615384616,4647.590943396227,4255.621264367816,213.1939393939394,1029.7332258064516,6131.902380952381
Pborn_Europe,94.21813084112149,93.28241563055062,73.3292817679558,97.31163636363637,79.96687499999999,87.17628865979381,95.81120507399577,80.90535714285714,95.8667701863354,79.52967032967032,96.97625628140705,95.76965517241379,97.3442513368984,91.45484949832776,92.55749999999999,63.35576923076923,81.15132075471698,90.35862068965517,94.89999999999999,97.28064516129032,70.81190476190476
total_population,8499.370093457945,6716.61811722913,13004.243093922652,7024.149090909091,13363.9875,11347.463917525773,11596.120507399577,12955.839285714286,5816.928571428572,11174.21978021978,4275.505025125628,8130.144827586207,5635.132352941177,8064.250836120401,14360.185714285713,14694.807692307691,11927.098113207547,8695.30459770115,5031.0,4979.987096774194,17409.5
Ptotal_populationF,51.05906542056074,51.182060390763766,51.69281767955801,51.22781818181818,50.96375,50.70412371134021,51.35095137420719,49.776785714285715,50.94503105590062,51.52582417582418,51.23542713567839,51.59068965517241,51.23729946524064,50.605016722408024,51.11392857142857,50.12435897435897,51.20603773584906,48.903448275862075,40.52121212121212,52.21387096774193,49.89523809523809
Ptotal_populationM,48.94093457943926,48.817939609236234,48.30718232044199,48.77218181818182,49.03625,49.294845360824745,48.64904862579281,50.223214285714285,49.05496894409938,48.47417582417582,48.76457286432161,48.40931034482759,48.76270053475936,49.394983277591976,48.88607142857143,49.87564102564103,48.79396226415094,51.096551724137925,59.47878787878788,47.78612903225807,50.10476190476191
PEconomicallyInactive,35.23046728971963,38.33889875666075,31.56243093922652,42.08218181818182,40.816874999999996,43.84742268041237,40.51162790697674,56.574999999999996,36.37018633540373,30.385714285714286,43.59045226130653,42.57896551724138,42.28048128342246,28.450167224080268,40.13392857142857,37.2698717948718,34.55358490566038,37.105172413793106,44.86060606060607,52.13129032258065,46.34761904761905
Pwhite,89.13046728971963,90.85932504440498,51.3,95.1630909090909,52.654999999999994,79.20309278350516,92.65285412262158,70.09642857142858,93.597049689441,72.07307692307693,96.81444723618091,91.52103448275862,96.03703208556149,86.04548494983277,83.85035714285713,29.648076923076925,62.185660377358495,84.04080459770115,91.35757575757576,97.1374193548387,34.74404761904762
Pother_ethnic,10.86411214953271,9.13392539964476,48.70883977900552,4.829818181818182,47.343125,20.795876288659795,7.3486257928118395,29.892857142857142,6.399223602484472,27.925824175824175,3.1802763819095476,8.479655172413793,3.961631016042781,13.957859531772574,16.14428571428571,70.34871794871795,37.80415094339623,15.955172413793102,8.624242424242425,2.851935483870968,65.25833333333333
Phousehold_notdeprived,48.11514018691589,61.14529307282416,46.03149171270719,41.718909090909094,36.239999999999995,49.6020618556701,51.49260042283298,51.512499999999996,55.568633540372666,59.425824175824175,55.24660804020101,35.680689655172415,48.31617647058823,59.39565217391304,40.30392857142857,38.64230769230769,50.682641509433964,42.66379310344828,54.372727272727275,45.134193548387096,32.31547619047619
Phousehold_deprived1D,33.73009345794392,29.449200710479577,32.52209944751381,35.42436363636364,36.074374999999996,33.06391752577319,33.33594080338266,32.69285714285714,32.14813664596274,28.515934065934065,32.992713567839196,35.284827586206895,35.256951871657755,29.487959866220734,34.6075,37.11025641025641,32.905660377358494,34.87413793103448,32.984848484848484,37.413548387096775,36.34880952380953
PhouseOwned,65.0188785046729,77.54404973357016,30.223204419889502,62.141090909090906,46.870625000000004,48.853608247422684,73.7860465116279,35.61607142857143,76.69534161490682,48.58956043956044,77.9110552763819,47.678275862068965,74.8687165775401,69.2304347826087,54.38285714285715,45.590384615384615,61.73547169811321,45.98620689655173,72.58181818181818,75.11387096774193,37.88690476190476
PhouseSocialRented,17.978130841121494,8.163055062166963,35.661325966850825,19.73690909090909,29.23,18.391752577319586,11.080549682875265,17.79642857142857,9.720962732919254,14.371978021978022,8.421733668341709,35.44965517241379,11.207754010695187,11.259866220735786,26.128928571428574,20.76794871794872,14.717358490566037,16.542528735632185,8.745454545454546,9.060322580645161,32.39404761904762
