,0,1,2,3,4
pop_density_sqrkilometer,1767.647157899634,4336.957110983219,3620.880289565018,1237.962639815101,1673.9391071239288
Pborn_Europe,4.226457199082546,7.396058569468857,9.66820628821003,1.551233741760773,4.380082291591756
total_population,4140.052308171389,3938.5690766108405,4155.533001917855,2841.788538012085,3834.854748371252
Ptotal_populationF,1.2851237022727438,1.9659075887966841,1.5130057855183696,1.3156223124030966,1.3696459066345295
Ptotal_populationM,1.2851237022727438,1.9658629197695574,1.5130057855183696,1.3156223124030966,1.3696459066345295
PEconomicallyInactive,4.8015339793377025,10.350605612227373,6.34857825870562,4.897376566929474,4.9445350055040365
Pwhite,9.049164398240878,13.110205375161048,17.21960788834868,2.9649136595373964,9.019607689174483
Pother_ethnic,9.050332057012424,13.111004523002395,17.219424294911587,2.967061703629001,9.022900205380623
Phousehold_notdeprived,5.080152889036198,6.668171995214776,5.820237976142372,4.618789503522491,4.134578696971697
Phousehold_deprived1D,1.6848458210735726,2.7611625696869435,1.8691982721200735,2.092402737799206,1.9871428621104557
PhouseOwned,9.860389679067103,13.964732796513982,12.75084888972961,6.95847301450568,8.031691615420993
PhouseSocialRented,9.723908147572901,11.690592600768486,12.911347384899221,4.868095605432755,5.045244624775909
PhousePrivateRented,8.466271543836449,10.595152431070073,9.070783794043198,4.700494492136388,5.980532829060429
P0to15_age,2.6623965539997103,4.307074389816468,3.6343796104987987,2.1293947330857534,2.5616919252502584
P16to49_age,3.9569895266567316,9.777339374195693,5.0957033654973465,4.230003551187222,5.3634288825566925
P50over_age,5.383664810490205,7.103310190015449,4.716775064091336,5.868237129435329,6.966643199726222
Pborn_outsideEurope,4.225395762891379,7.39473765317825,9.66419663711011,1.5527403014712908,4.378271312963882
Pinemployment,5.023078566691122,10.613230745285746,6.843168631991513,4.888643213100947,4.77865317065584
Punemployment,0.8848374538186067,1.2937526293496442,1.243563918090184,0.5048994215915361,0.5948478619790626
Phousehold_D2ormore,4.606608519442909,4.624311343815167,5.141569840185055,3.2432102858878733,2.688819803925971
Presi_0toL1quali,4.734794817350332,5.402525872776329,6.7854715966096,4.42175604583033,3.7451481696609648
Presi_L2toApprequali,1.7305940252165277,3.0073535680264345,2.4590119513700106,1.9441694940079954,2.5463034251636647
Presi_L3toL4quali,5.45309838732317,8.049566320071559,8.473462717420766,5.766932790389692,5.751532297055086
PL1toL9_NS,6.104442665731111,13.02147396010486,8.43635896004649,6.925042095084388,6.493373309752007
PL10toL11_7_NS,1.750058321020058,2.7157325039974203,2.1650021411956533,2.2608798468247593,2.556957309920234
PL12to13NS,5.17187730845128,4.641876027696868,5.755821886368651,4.823423653934801,4.291602715034297
PL14to15NS,3.5588734201612997,14.40708585697213,8.052996805164545,2.046962421593884,2.300825601737865
air_score_ward,0.33018544384543147,0.27167955134745114,0.3713804021024009,0.3167995540200987,0.3134842328320666
GP_unique_name_count,2.498596329980994,2.7845164172764676,3.58644843860045,1.2307784705652762,1.8040600721510869
PH_unique_name_count,1.4845946712760405,1.6881080389664327,2.0988432431225315,0.9335381750380323,1.130360936911173
Uni_score_ward,0.40173325679850874,0.651833463387829,0.5508651859200692,0.300713605260394,0.4230578448360292
PriS_unique_name_count,1.7966858500689342,1.5243006721572179,2.205806571432216,1.484795410812065,1.6847107669796657
